nom;Eau;Proteines;Glucides ;Lipides ;Sucres ;FibresAlimentaires;AG_satures ;Sel
Gelée de fruits divers (extra ou classique);-;0,35;61,6;0,17;61,6;1,28;< 0,033;0,019
Gelée de groseille (extra ou classique);37,9;< 0,5;59,6;< 0,3;58,7;< 0,5;-;< 0,013
Confiture, tout type de fruits, allégée en sucres (extra ou classique);58,2;0,75;38;< 0,3;38;1,8;0,044;0,023
Pain brioché ou viennois;20,3;10,7;55,5;9,38;6,9;3,3;5,22;1,31
Viennoiserie (aliment moyen);22,8;8,02;49,1;16,2;12,8;2,43;8,6;1,04
Croissant, sans précision;29,2;7,29;40,4;20;8,83;2,32;11,6;1,1
Croissant ordinaire, artisanal;21,4;6,94;47,6;21,1;7,88;1,8;11,6;1,31
Croissant au beurre, artisanal;21,1;7,25;45,7;22,6;7,3;2,5;15,1;1,16
Croissant aux amandes, artisanal;22,1;8,36;35,9;29,1;14,1;3,7;15;0,79
Pain au lait, artisanal;23,7;9,38;50,6;15,4;9,94;1,5;8,34;1,1
Pain au lait, préemballé;23,1;8,94;52,2;12,3;11,9;1,8;5,54;1,06
Pain au lait aux pépites de chocolat, préemballé;21,8;8,51;52;13,5;18;2,72;6,32;0,93
Pain aux raisins (viennoiserie);25,8;5,6;55,9;9;18,7;2,8;4,1;0,71
Pain au chocolat feuilleté, artisanal;20;8,19;45,4;22,5;12,8;3;14,7;0,98
Pain au chocolat, préemballé;19;7,56;46,8;22,3;11,1;3;13,4;1,1
Brioche (ou briochettes) aux pépites de chocolat, préemballée;24;8,56;51,6;11,2;17;3;0,92;0,94
Brioche fourrée au chocolat;24,4;7,47;53,2;11,6;21,1;2,17;6,82;0,86
Brioche fourrée aux fruits, préemballée;25,5;6,9;50,5;12,1;18,4;3,8;7,2;1
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée";-;6,22;49,2;8,41;20,7;1,5;4,93;0,68
Brioche, préemballée;23,7;8,13;52,7;11,8;12,7;2,2;5,01;1
Brioche, sans précision;21,5;11,3;46;19,1;5,7;< 0,5;7,84;1,13
Brioche, de boulangerie traditionnelle;21,4;9,81;49,2;14,7;-;3;8,51;1,47
Couronne de Noël (Brioche) aux fruits confits, préemballée;25;7,2;53,3;12,3;19,6;1,35;5,83;0,89
Brioche pur beurre, préemballée;24;8;51,6;14;13,4;1,1;8,69;0,96
Chouquette;23,5;7,76;42,6;18,6;27,1;6,1;9,89;1,08
Chausson aux pommes;36,2;4,17;36,6;18,7;11,2;3,1;10,3;0,87
Tartine craquante, extrudée et grillée, fourrée au chocolat;5,5;7,85;64,3;16;30,2;4,65;4,88;0,34
Tartine craquante, extrudée et grillée, fourrée aux fruits;8,9;5,38;74,7;6,44;28,8;3,92;1,72;0,43
Macaron sec;-;6,9;77,7;10,2;74;3;0,6;0,2
Biscuit sec, sans précision;4,2;6,9;65;20,6;24,7;2,03;6,09;0,63
Biscuit sec nature;3,88;6,77;70;15,1;23,6;2,81;6,81;0,84
Biscuit sec à teneur garantie en vitamines;1,8;9,63;72,6;14,2;23,3;0,75;6,07;0,16
Biscuit sec à teneur garantie en vitamines et minéraux;1,28;10,8;61,9;19,8;22,1;3,5;8,44;0,44
Biscuit sec aux fruits, hyposodé;5;10,8;61,4;15,8;20,2;6;6,8;0,038
Biscuit sec aux fruits hyposodé, sans sucres ajoutés;5,5;22,7;47,6;20,7;14,3;2,63;8,37;0,35
Biscuit sec croquant au chocolat, allégé en matière grasse;-;7;69;11;22,4;8,4;3,18;2,18
Biscuit sec fourré aux fruits, allégé en matière grasse;8,8;4,69;75,3;7,2;-;3;2,82;0,58
Spéculoos;2,4;5,94;69;19,7;32,6;1,93;9,35;0,86
Biscuit sec, avec matière grasse végétale;1,25;7,23;74,7;11,8;21,7;4;6,68;0,72
Biscuit sec, petits fours en assortiment;1,6;6,44;61,4;26,4;39,4;2,9;6,21;0,46
Biscuit sec petit beurre;1,4;8,06;74,5;12,1;21,5;2,3;7,82;1,16
Biscuit sec avec tablette de chocolat;2,01;6,62;63,3;24,1;36,8;2,65;15,1;0,61
Biscuit sec petit beurre au chocolat;1,21;7,19;71,1;16;24,5;2,91;9,37;1,21
Biscuit sec au lait;2,85;8,25;73,9;11,5;20;2,2;5,45;1,14
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;1,5;5,63;80,1;8,8;29,4;2,5;2,85;0,78
Biscuit sec pour petit déjeuner;2,1;7,81;65,8;16,3;21;5,5;2,83;1,19
Biscuit sec pour petit déjeuner, allégé en sucres;-;7,68;66,3;16;20,2;6,33;4,4;0,68
Biscuit sec chocolaté, préemballé;1,21;6,43;61,7;26,9;34,3;2,71;14,2;0,5
Biscuit sec fourré à la pâte ou purée de fruits;12,7;4,43;69,2;9,11;43,4;3,52;3,6;0,41
Biscuit sec avec nappage chocolat;2,72;6,93;61,9;25;36,7;2,09;14,9;0,4
Barre biscuitée fourrée aux fruits, allégée en matière grasse;10,5;3,32;75,7;7,12;41,9;3;2,64;0,42
Biscuit sec pour petit déjeuner, au chocolat;2,5;6,5;69,7;16,6;29,8;2,8;8,75;0,95
Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux;1,9;7,44;67,7;15,7;23,4;5,3;4,12;0,87
Biscuit sec au beurre, sablé, galette ou palet;2,89;6,4;64,8;22,7;24,3;1,99;14,7;0,82
Biscuit sec au beurre, sablé, galette ou palet, au chocolat;2,6;6,64;61;25,3;28,9;3,19;16;0,77
Biscuit sec chocolaté, type barquette;5,29;7,39;60,9;22,8;43,1;2,41;3,03;0,4
Biscuit sec chocolaté, type tartelette;2,7;6,65;60,2;25,8;29,2;3,24;16;0,45
Biscuit sec chocolaté, type galette;-;6,84;63,7;23,5;28,2;3,01;13,2;0,65
Biscuit sec, sablé, galette ou palet, aux fruits;3,3;5,93;67,6;19,3;31;2,74;11;0,49
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté);3,1;5,5;59,8;27,2;29,7;3,4;16,7;0,37
Florentin (biscuit sec sucré chocolaté aux amandes);2;9,31;50,7;28,7;44,1;7,6;10,8;0,13
Biscuit pâtissier meringué;-;7,42;56;30,7;46,1;3,62;18,9;0,3
Sablé à la noix de coco;2,72;7,1;66,5;20,1;24,2;2,65;12,3;0,74
Sablé pâtissier, artisanal;5;8,38;59,4;22,9;-;3,3;-;0,41
Sablé aux fruits (pomme, fruits rouges, etc.);-;5,85;66;21,1;32;2,55;10,6;0,56
Sablé au cacao ou chocolat, au praliné ou autre;3,61;6,63;61,2;24,6;27,3;3;10,7;0,94
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille";2,19;5,36;71,2;18,6;34,7;1,83;10,7;0,56
"Goûter sec fourré (""sandwiché"") parfum chocolat";2,33;6,7;67,9;18;29,8;3,77;9,92;0,62
"Goûter sec fourré (""sandwiché"") parfum fruits";0,99;6,64;73,3;17,4;31,6;3,35;9,68;0,5
Gaufrette ou éventail sans fourrage;2,93;9;76,8;8;35;2;5;1
Gaufrette fourrée chocolat, préemballée;1,64;6,38;57,2;29,8;35,8;3,53;22,9;0,27
Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée;2,31;7,31;59,6;26,4;37,4;3,21;17,7;0,34
Gaufrette, fourrée vanille, préemballée;1,1;5,75;60,1;30,1;32,9;1,6;19,9;0,36
Gaufrette fourrée, aux fruits;9,32;4,43;82,4;1,58;41,7;1,66;0,75;0,28
Cigarette;2,47;5,29;63;27,5;38;1;17,5;0,28
Crêpe dentelle;2,9;6,27;72,1;15,5;36,7;1,7;10,2;0,64
Crêpe dentelle au chocolat, préemballée;-;5,91;67,9;21,8;42,4;3,45;13,5;0,5
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir;6,3;7,98;79,9;3,77;47,9;1,37;0,99;0,41
Biscuit sec type langue de chat ou cigarette russe;2,98;5,66;77,9;10,7;40,3;1,86;6,85;0,57
Meringue;0,8;4,06;94,3;< 0,5;94,3;< 0,5;< 0,01;0,16
Biscuit sec ou tuile, aux amandes;3,2;7,8;68;18,1;39,2;2,1;5,65;0,21
Biscuit sec type tuile, aux fruits;-;5,43;74,9;8,28;26,9;7,14;3,69;0,7
Biscuit sec feuilleté, type palmier ou autres;2,49;6,1;60,5;27,6;21,6;2,06;14,4;1,01
Palmier, artisanal;6,12;5,93;53,1;28,2;21,8;5,3;14,4;1,16
Biscuit sec (génoise) nappage aux fruits, type barquette;15,5;4,44;74,4;2,1;51,1;2,8;0,75;0,12
Biscuit sec nappé aux fruits, tartelette;6,84;4,7;71,3;14,2;32,7;2,27;7,98;0,37
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;13,3;4,25;79,3;1,92;52,9;1;0,86;0,015
Cookie aux pépites de chocolat;3,46;6,47;59;25,9;31,5;3,38;12,9;1,01
Cône ou cornet classique, pour glace;-;7,5;80,4;5;25,6;2;4,1;0,54
Génoise sèche fourrée aux fruits et nappée de chocolat;13,8;3,23;69,5;10,6;51,7;2,16;6,11;0,17
Biscuit sec pauvre en glucides;-;20,8;43,8;18,5;19,3;11,5;8,75;0,86
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;1;8;82,2;2,2;35,3;5,2;0,38;0,018
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;2,7;8,13;70,4;8,9;26,2;6,7;3;0,53
Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux;3,57;11,5;59,3;4,42;22,1;18,3;1,91;1,27
Céréales pour petit déjeuner (aliment moyen);3,58;7,81;75,3;6,08;24,6;5,16;2,19;0,79
Muesli (aliment moyen);5,72;7,49;66,6;12,2;25,9;6,4;5,04;0,7
Pétales de maïs natures, enrichis en vitamines et minéraux;2,98;7,4;83,2;0,87;9,53;3,48;0,28;1,64
Riz soufflé nature, enrichi en vitamines et minéraux;1,47;7;87;1,5;8;1;0,3;1,15
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;-;11,5;64;6,75;19,3;11,5;3,5;0,78
Pétales de blé chocolatés, enrichis en vitamines et minéraux;2,03;9,04;77,7;3,24;29,9;6,01;1,49;0,56
Pétales de blé chocolatés (non enrichis en vitamines et minéraux);2,1;8,48;80,1;2,64;30,3;4,93;1,4;0,64
Riz soufflé chocolaté (non enrichi en vitamines et minéraux);2,8;6,31;84,2;2,2;32,5;3,06;0,91;0,94
Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux);-;7,73;79,6;2,93;31,2;5,24;1,21;0,41
Pétales de maïs natures (non enrichis en vitamines et minéraux);-;8,14;82,8;1,05;5,43;3,36;0,3;2,15
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;4,2;7,81;69,2;13;29,1;3,6;3,22;0,89
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes;-;7,33;67,2;14,8;34,3;5,3;3,03;0,46
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;8,6;8,42;64,7;13,3;31,2;3,32;5,52;0,77
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux";2,6;11,4;78,6;1,65;17,2;3,36;0,54;1,25
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";3,3;7,5;73,9;5,9;19,5;7,1;3,02;0,69
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";3;10,5;77,9;1,74;20,6;4,4;0,57;1,06
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux";-;9,77;75,5;4,93;23,7;4,33;0,83;1
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)";2,5;10,3;74,6;7,01;22,9;4,06;4,07;1,03
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)";3,1;10,5;78,7;1,4;19;4,32;0,32;1,24
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)";-;11,3;79;1,25;15,4;3,45;0,39;1,18
Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen);3,48;7,51;75;6,77;24,4;4,98;2,42;0,86
Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen);2,65;8,26;79,2;3,24;28,6;4,88;1,48;0,67
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);-;4,4;88;0,6;29,6;1,9;0,1;1,14
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux);4,3;8,88;59,7;16,7;21,7;8,68;6,61;0,34
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux);2,4;8,57;63,2;16,7;22,7;7,42;7,74;0,35
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;9,8;9,19;65,4;5;23,8;8,6;0,75;0,49
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;3,05;5,67;68,4;17,3;30;3,83;8,33;1
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux;3;9,13;62,7;16,7;21,8;6,7;6,45;0,44
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;9,21;10,7;61,6;11;18,6;5,7;1;0,25
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;3,34;8,82;75,2;4,01;44,4;6,43;2,54;0,25
Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux;3;14;49;3,5;18;27;0,7;0,58
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;3,6;5,77;84,7;0,63;30;3,02;0,18;1,27
Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;5;10,3;67,9;6,3;20,9;8,07;0,83;1,5
Muesli floconneux ou de type traditionnel;-;10,6;68,5;4,83;11,9;11,4;0,83;0,15
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux);2,3;5,71;86,2;2,35;30,9;2,3;0,6;0,71
Blé khorasan complet soufflé;5,13;7,32;80,5;1,96;-;4,4;0,52;0,027
Riz soufflé chocolaté, enrichi en vitamines et minéraux;2,68;6,22;83,2;2,82;29,7;3,19;1,5;0,75
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;3;5,5;85,3;1,8;27;2,1;0,35;0,84
Céréales complètes soufflées, enrichies en vitamines et minéraux;-;7,95;76,8;3,85;32;5,65;0,85;0,95
Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux;3;7,39;79,4;4,27;33,3;3,49;2,01;0,75
Muesli croustillant, au quinoa;3,35;10,9;71,2;10,7;-;3,4;4,09;0,057
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux);8,8;9,5;61,7;6,9;20,6;11;2,12;0,1
Muesli enrichi en vitamines et minéraux (aliment moyen);5,52;6,96;67,3;12,8;27,7;5,58;5,55;0,81
Flocon d'avoine précuit;11;11,7;58;7,7;1,84;10,6;1,36;0,011
Muesli non enrichi en vitamines et minéraux (aliment moyen);6,63;9,2;60,7;11,6;21,1;9,88;4,29;0,22
Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux;2,7;7,06;79,5;3,2;28,1;4,5;1,74;0,54
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";8,45;6,13;72,8;6,53;30,2;4,13;3,5;0,75
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux";4,48;5,99;72,9;10,9;32,4;3,7;6,65;0,7
Barre céréalière diététique hypocalorique;9,5;5,9;65,3;11,2;8,5;5,8;9,6;0,75
Barre céréalière chocolatée;2,54;6,55;73;14,9;32,9;4,5;7,37;0,51
Barre céréalière aux fruits;8,68;5,49;73,5;7,07;29,6;3,8;3,44;0,63
Barre céréalière aux amandes ou noisettes;6,5;8,69;60,6;18,2;20,4;4,6;4,03;0,45
Barre céréalière chocolatée aux fruits;-;5,7;70,4;11,8;34,8;4,04;7,45;0,56
Baba au rhum, préemballé;64,5;2,83;23,6;3,86;18,2;0,87;2,77;0,24
Gâteau (aliment moyen);21,2;5,27;53,5;17,8;32;1,75;5,36;0,73
Gâteau Paris-Brest (pâte à choux crème mousseline praliné);40,6;5,44;26,1;24,9;16,2;1,2;13,1;0,3
Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises);38,3;4,13;34,2;19;29,5;2,2;12,4;0,17
Gâteau mousse de fruits sur génoise, type miroir, bavarois;53,3;3,87;31,6;12,2;25,1;< 1;6,51;0,11
Entremets type Opéra;30,1;5,19;39,6;24;35,1;2,3;13,4;0,11
Fraisier ou framboisier;52,6;3,31;26,7;15,5;17,3;1,3;8,3;0,15
Baba au rhum;50,1;2,25;36,3;9,9;29,9;0,8;6,42;0,22
Canelé;26,3;5,2;59,4;3,7;37,6;2,6;2,11;0,19
Macaron moelleux fourré à la confiture ou à la crème;11,9;10;49,7;21,2;45,2;2,9;4,46;0,16
Bûche de Noël pâtissière;43,4;4,2;30,7;19,7;23,7;1,3;-;0,18
Brownie au chocolat, préemballé;12,8;5,94;50,6;25,4;35,1;3,4;7,32;0,35
Rocher coco ou Congolais (petit gâteau à la noix de coco);13,1;4,46;53,7;24,1;47,5;7,08;21,2;0,1
Biscuit de Savoie;33,2;6,05;56,3;0,8;-;1,5;0,12;1,87
Quatre-quarts, fabrication artisanale;20,5;5,94;46;25,6;26,8;1,1;15,8;0,52
Quatre-quarts, préemballé;19,4;5,94;48,2;23,9;26,4;1,1;15,2;1,07
Barre pâtissière, préemballé;21,8;5,38;54,7;14,9;26,8;1,4;1,59;1,28
Gâteau au citron, tout type;17,9;5;54;21,3;-;1;8,64;0,54
Far aux pruneaux;50;5,13;32;8;21,5;3,4;4,79;0,23
Kouign Amann;17;5,81;48,7;25,1;20,5;2,2;16,7;0,85
Pain d'épices;20,4;2,94;71,5;1,1;38,2;3;0,18;0,47
Pain d'épices fourré ou nonette;17,2;4;76;2,5;44;2,5;0,5;0,41
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);13,5;10,4;49,2;24,5;39,6;< 1;4,7;0,075
Corne de gazelle (pâtisserie orientale aux amandes et sirop);8,22;8,55;60,2;22,1;32;< 1;7,78;0,15
Chou à la crème (chantilly ou pâtissière);46,4;4,5;25,2;22,9;16,7;< 0,5;14,5;0,28
Chou à la crème chantilly, Saint-honoré;44,3;4,63;22,9;26,4;8,9;1;13,6;0,37
Chou à la crème pâtissière;51,7;4,31;34,9;7,3;13,5;1;3,38;0,25
Éclair;48,8;5,78;31,6;11,8;18,9;3,9;5,49;0,23
Tarte aux fruits et crème pâtissière;56,8;2,94;30;7,7;18,7;1,3;4,8;0,26
Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados);38,6;4,44;38,7;15;25,8;2,5;8,37;0,23
Tarte au citron;29,1;5;42,7;20,9;30,1;1,8;10,7;0,13
Tarte ou tartelette aux pommes;50,4;2,52;32,7;8,79;20,7;3,3;4,66;0,31
Tarte aux fraises;46,9;3,19;31;19,8;-;1,5;9,04;0,14
Crumble aux pommes;52,4;2,19;33,8;9,5;19;1,7;6,25;0,085
Tarte aux abricots;41,5;3,18;41;10,7;17,4;5,9;6,43;0,22
Tarte aux fruits rouges;49,1;3,5;38,5;6,87;20,9;4,5;3,85;0,21
Tarte Tatin aux pommes;50;2,31;37,1;9,3;24,9;0,7;5,98;0,19
Tarte au chocolat, fabrication artisanale;18,6;5,94;40,9;30,7;22,7;2,9;18,9;0,19
Tarte ou tartelette aux fruits;-;3,72;46,9;10,6;24,6;2,64;4,74;0,38
Flan pâtissier aux oeufs ou à la parisienne;54,6;3,69;29,2;11,3;18,4;0,7;7,16;0,24
Charlotte aux fruits;55,7;5,16;28,2;6,64;21,7;2,8;3,34;0,038
Gâteau au chocolat;16,8;5,74;54,6;21,6;32,2;2,42;5,6;0,76
Gâteau moelleux au chocolat, préemballé;16,7;6,19;48,2;24;33,4;2,56;7,88;0,3
Gâteau au yaourt;-;5,87;51,8;21,4;26,9;1,13;2,23;0,67
Gâteau au fromage blanc;54,2;6,17;27;11,6;19,5;0,7;5,16;0,5
Gâteau moelleux nature type génoise;20;5,7;57,6;14,4;27,1;4,6;1,6;0,5
Galette des rois feuilletée;-;5;29,8;23,3;9,9;2,45;13,4;0,61
Galette des rois feuilletée, fourrée frangipane, et Pithiviers;21,9;7,6;33,4;30;15,6;2;14;0,7
Crêpe, nature, préemballée, rayon frais;42;6,49;40;7,21;19,1;1,9;6,5;0,61
Crêpe, nature, préemballée, rayon température ambiante;15,6;8,5;58,1;14,1;28,1;1,3;6,51;1,71
Galette de sarrasin, nature, préemballée;59;5,95;30,1;1,51;1,08;3,08;0,33;1,32
Gâteau basque, crème pâtissière;26,5;4,03;57,4;13,3;28,1;1;7,55;0,47
Gâteau basque, cerises;-;4,3;63,3;13,5;42;1,4;9,1;0,43
Crêpe fourrée au sucre, préemballée;-;6,62;58,7;15,8;31;1,04;9,38;1,44
Crêpe fourrée à la confiture, maison;30,6;6,51;54;5,74;19,4;1;3,36;0,89
Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, maison;17,8;8,1;54,3;14,6;20,4;2,44;7,21;0,9
Crêpe fourrée chocolat, préemballée;9;6,43;58,7;20,4;38,2;1,96;5,52;0,83
Crêpe fourrée fraise, préemballée;-;5,35;66,7;6,6;30,8;1;2;1,02
Gaufre fine fourrée au miel, préemballée;7;4,56;67;18,3;37;1,9;8;0,77
Gaufre bruxelloise ou liégeoise, préparation artisanale;38,9;8;36,1;13,4;4,8;1,9;5,12;0,99
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée;-;7,1;52,5;25,2;32;1,77;11,4;0,82
Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée;-;6,1;55,9;23,9;29,4;2,45;13,5;0,63
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée;7,13;5,18;66,4;17,9;37,6;1,81;10,1;0,83
Gaufre croustillante (fine ou sèche), chocolatée, préemballée;-;6,9;70;16;39;1,6;12;0,76
Beignet rond moelleux, sans fourrage, saupoudré de sucre;26;7,25;39,4;23,7;10,7;2;9,46;1,11
Beignet à la confiture;27,6;6,36;45,6;18,7;19,9;0,9;4,84;0,71
Beignet fourré aux fruits, préemballé;27,7;5,65;47,6;16;14,5;2,15;6,05;0,78
Beignet fourré goût chocolat, préemballé;20,3;7,31;45,9;22,5;18,6;2,6;8,41;0,7
Pâtisserie (aliment moyen);30,8;5,03;44;17,2;27,5;2,25;6,97;0,39
Cake aux fruits, préemballé;23,5;4,19;55,2;12,6;35,8;2,1;1,6;0,59
Gâteau marbré, prémballé;17,5;5,76;50,5;23;27,9;1,75;6,11;0,67
Gâteau sablé aux fruits, préemballé;-;5,13;63,9;16,3;39;1,9;13;0,61
Gâteau moelleux aux fruits, prémballé;-;4,61;61,6;14,8;34,2;1,97;3,11;0,85
Gâteau moelleux aux fruits à coque, prémballé;-;6,2;48,8;25,5;34,7;2,1;12,8;0,5
Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait, prémballé;14,3;5,31;60,7;21,7;43,7;< 1;9,88;0,51
Génoise fourrée et nappée au chocolat, prémballé;17,3;5,46;53,3;20,8;35;1,91;12,3;0,43
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré, prémballé;17,9;4,41;64,2;6,5;43,9;1,64;0,91;0,48
Muffin, aux myrtilles ou au chocolat;18,3;5,59;48,9;23,4;27,9;1,55;4,13;0,9
Madeleine, pur beurre, préemballée;14,5;5,6;52,6;25,5;27,4;0,8;15,7;0,69
Madeleine au chocolat, préemballée;14,5;6,06;51,5;24,9;29;1,1;7,48;0,81
Madeleine ordinaire, préemballée;13,6;5,2;53,5;25,2;23,8;1,2;2,49;0,89
Tarte aux poires amandine;39,2;4,9;37,7;14,9;21,2;2,3;7,2;0,14
Gâteau aux amandes type financier;15,4;9,1;44,3;27,4;34,6;2,6;13,3;0,47
Gâteau aux amandes, préemballé;-;5,78;60,1;17,3;37,4;2,15;7,37;0,5
Mille-feuille;40,1;3,88;43,7;11,3;28,8;0,24;5,27;0,42
Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen);51,3;2,66;32,2;12;25,3;1,17;8,42;0,14
Barre glacée chocolatée;35,2;5,12;35,8;21,4;27,7;1,31;15,2;0,29
Glace ou crème glacée, bâtonnet, enrobé de chocolat;41,3;3,35;33,4;19,8;27,9;1,23;13,3;0,16
Glace ou crème glacée, cône (taille standard);42,5;3,44;37,8;13,5;25,7;< 3;9,77;0,13
Glace ou crème glacée, en bac;60,5;2,5;26,1;8,4;21,9;< 3;5,44;0,12
Glace au yaourt;68,8;3,38;22,7;2,2;20,7;< 3;1,44;0,093
Glace ou crème glacée, gourmande, en bac;-;2,99;29;10,7;24,4;1,05;6,36;0,17
Glace ou crème glacée, gourmande, en pot;52,8;4,13;24,2;17,9;21,9;< 2;10,8;0,16
Glace ou crème glacée, mini cône;-;4,11;38,5;20,2;25,6;2,33;15,1;0,29
Glace ou crème glacée, pot individuel;56,6;3,15;26,7;12,7;22,1;1,91;9,2;0,15
Glace ou crème glacée, bac ou pot (aliment moyen);63,4;2,81;24,9;6,21;21,5;1,5;4,03;0,11
Glace ou crème glacée, petit pot enfant;62,5;1,83;25,2;5,94;22;0,28;4,12;0,14
Sorbet, bâtonnet;75,8;0,28;25,7;0,32;23,1;0,82;0,094;0,039
Sorbet, en bac;66,1;0,46;29,6;0,78;25;1,17;0,45;0,045
Sorbet, pot individuel;-;traces;27;2,5;24;traces;traces;0,04
Glace à l'eau;81,7;0,066;20,8;0,2;20,1;0,2;0,19;0,02
Sorbet, cône;-;2,04;39,3;6,74;27,6;0,9;4,47;0,051
Profiterole avec glace vanille et sauce chocolat;48,3;5,38;31,4;14,9;19;1,6;8,39;0,24
Pêche melba;73,5;2,02;18,8;3,62;18,2;1,54;1,62;0,063
Dessert glacé type mystère ou vacherin;46;3,12;40,5;10,7;33,7;2,18;6,53;0,12
Dessert glacé, type sundae;54,4;2,52;32,6;9,7;24,9;< 2;6,8;0,24
Dessert glacé feuilleté, à partager;54,2;2,65;26,2;16,1;21,9;0,94;13,3;0,18
Omelette norvégienne;54,3;3,6;34,8;6,5;32,7;< 0,5;3,9;0,15
Poire belle Hélène;60,7;2,68;23,5;9,57;21;2,76;5,19;0,039
Nougat glacé;52,3;4,83;25,3;15,2;20,5;2,76;11;0,13
Citron givré ou Orange givrée (sorbet);-;0,14;29,1;1,77;24,4;traces;traces;0,034
Coupe glacée type café ou chocolat liégeois;-;2,98;28,6;10;25,6;1,82;7,74;0,12
Bûche glacée;-;2,42;30;10,4;25,6;1,54;7,1;0,19
Coupe glacée parfum pêche Melba ou poire Belle-Hélène;-;0,89;32,2;3,36;31,4;0,35;1,79;0,094
Beurre à 82% MG, doux;15,4;0,69;0,9;82,9;0,83;0;55,4;0,063
Huile de beurre ou Beurre concentré;1,5;0,27;0;99,9;0;0;61,9;0,005
Beurre à 80% MG, demi-sel;15,3;0,72;0,55;81,4;0,39;0;54,9;1,9
Beurre à 80% MG, salé;15,7;0,5;0,68;80,8;traces;0;52,9;2,52
Beurre à 82% MG, doux, tendre;15,6;0,7;0,5;83,4;-;0;-;0,055
Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;37,7;0,56;0,7;60,6;< 0,2;0;40,1;0,045
Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel;37;0,9;0,5;61;0,5;0;34,3;1,13
Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen);56,5;0,33;3,73;38,9;1,06;0,51;25;0,4
